0.10	1    -203.7013089    -203.6964130
0.20	1    -203.7012155    -203.6963250
0.30	1    -203.7011210    -203.6962361
0.40	1    -203.7010254    -203.6961463
0.50	1    -203.7009287    -203.6960557
0.60	1    -203.7008309    -203.6959642
0.70	1    -203.7007321    -203.6958718
0.80	1    -203.7006323    -203.6957787
0.90	1    -203.7005315    -203.6956847
1.00	1    -203.7004296    -203.6955899
1.10	1    -203.7003268    -203.6954944
0.10	3    -203.7013151    -203.6964174
0.20	3    -203.7012277    -203.6963337
0.30	3    -203.7011391    -203.6962490
0.40	3    -203.7010494    -203.6961633
0.50	3    -203.7009585    -203.6960767
0.60	3    -203.7008665    -203.6959892
0.70	3    -203.7007733    -203.6959007
0.80	3    -203.7006790    -203.6958113
0.90	3    -203.7005835    -203.6957211
1.00	3    -203.7004870    -203.6956299
1.10	3    -203.7003894    -203.6955379
0.10	5    -203.7013213    -203.6964219
0.20	5    -203.7012401    -203.6963426
0.30	5    -203.7011576    -203.6962622
0.40	5    -203.7010739    -203.6961808
0.50	5    -203.7009889    -203.6960983
0.60	5    -203.7009027    -203.6960148
0.70	5    -203.7008153    -203.6959304
0.80	5    -203.7007266    -203.6958449
0.90	5    -203.7006368    -203.6957585
1.00	5    -203.7005458    -203.6956711
1.10	5    -203.7004536    -203.6955828
